CustomerID,Recency,Frequency,Monetary,FutureRevenue
12346.0,143,1,77183.6,0.0
12347.0,64,3,1823.43,2486.57
12348.0,66,3,1487.24,310.0
12350.0,127,1,334.4,0.0
12352.0,79,5,1561.81,944.23
12353.0,21,1,89.0,0.0
12354.0,49,1,1079.4,0.0
12355.0,31,1,459.4,0.0
12356.0,63,2,2753.08,58.349999999999994
12359.0,7,3,3495.73,2876.85
12360.0,18,1,1083.58,1578.48
12361.0,104,1,189.9,0.0
12362.0,43,2,974.34,4251.89
12363.0,59,1,299.1,252.9
12365.0,108,2,641.38,0.0
12370.0,92,3,2806.41,739.28
12372.0,30,2,914.9200000000001,383.12
12373.0,128,1,364.6,0.0
12377.0,132,2,1628.12,0.0
12380.0,3,1,607.5500000000001,2117.26
12383.0,2,5,1850.56,0.0
12386.0,155,2,401.9,0.0
12388.0,92,3,766.25,2014.41
12393.0,63,3,1061.1000000000001,521.5
12394.0,34,1,381.08,891.4
12395.0,29,6,1569.72,1448.91
12399.0,31,2,768.95,339.7
12401.0,120,1,84.3,0.0
12402.0,140,1,225.6,0.0
12406.0,1,1,1621.25,1794.05
12407.0,53,2,495.96,1212.16
12408.0,77,2,837.59,2050.96
12410.0,126,2,693.3299999999999,0.0
12413.0,53,2,563.9,194.20000000000002
12414.0,34,3,562.41,0.0
12415.0,20,7,50883.9,74030.63
12417.0,4,5,1898.27,1750.83
12421.0,136,1,157.45,649.59
12422.0,142,1,238.5,565.0600000000001
12423.0,9,6,1451.69,407.62
12426.0,12,1,582.73,0.0
12427.0,189,1,303.5,522.3
12428.0,60,6,6310.54,1645.92
12429.0,45,2,1719.48,2030.92
12431.0,18,7,3158.53,3328.92
12433.0,183,2,3787.12,9588.75
12434.0,77,1,286.25,519.89
12435.0,85,1,3978.9900000000002,3850.9
12437.0,16,8,1975.09,2976.32
12441.0,184,1,173.55,0.0
12447.0,60,1,476.49,0.0
12449.0,4,1,858.9300000000001,3208.36
12451.0,35,2,5307.82,3727.7
12455.0,7,3,1963.3,503.56
12456.0,72,1,940.1700000000001,2240.87
12457.0,51,3,1067.25,1295.98
12458.0,102,1,441.92,505.48
12462.0,120,1,762.11,427.48
12463.0,24,2,647.95,696.83
12464.0,18,4,544.8499999999999,667.1999999999999
12468.0,5,2,729.5400000000001,0.0
12471.0,28,13,8397.32,11426.73
12472.0,85,3,3048.84,3523.27
12473.0,9,1,672.1899999999999,3266.36
12474.0,18,8,2719.13,4656.66
12476.0,35,5,2445.1,4371.32
12477.0,56,2,4576.97,8642.77
12480.0,84,2,1587.27,1694.36
12481.0,22,7,3100.55,2495.77
12483.0,1,5,1314.6100000000001,1170.3700000000001
12484.0,153,1,1138.67,3403.05
12489.0,153,1,334.93,0.0
12490.0,32,2,1195.72,4222.21
12493.0,14,1,232.5,201.24
12494.0,13,4,715.64,530.46
12500.0,84,4,1210.2,3047.62
12501.0,154,1,2169.39,0.0
12502.0,35,3,1842.65,1881.22
12506.0,50,1,73.5,0.0
12507.0,116,1,446.16,858.65
12509.0,101,1,176.5,0.0
12510.0,142,1,681.05,301.52
12514.0,84,1,1017.68,0.0
12515.0,170,1,383.7,0.0
12517.0,7,1,766.95,1735.89
12520.0,22,3,1697.56,936.7
12523.0,70,4,500.19,1289.58
12524.0,22,5,2833.38,1652.3400000000001
12527.0,112,2,284.92,63.790000000000006
12528.0,94,2,771.66,1161.82
12530.0,51,2,805.0,857.28
12535.0,4,1,371.45,344.9
12539.0,79,3,4517.69,1050.66
12540.0,3,7,6502.5199999999995,6897.72
12541.0,98,1,312.4,668.78
12545.0,77,1,628.15,372.24
12547.0,15,2,207.79999999999998,0.0
12551.0,175,1,168.0,0.0
12553.0,22,5,1734.62,1957.66
12557.0,73,3,4854.62,7136.34
12559.0,128,2,561.71,0.0
12561.0,120,1,238.85,0.0
12562.0,16,1,444.96000000000004,3336.78
12564.0,78,1,456.9,0.0
12565.0,106,1,145.92,0.0
12567.0,2,6,4457.0,4944.28
12569.0,1,6,1306.46,2818.23
12573.0,44,1,160.54000000000002,0.0
12574.0,133,1,218.45,0.0
12576.0,35,2,421.65,894.18
12577.0,176,1,195.89,461.91
12578.0,147,1,1608.66,1185.85
12580.0,64,1,415.7,0.0
12582.0,56,2,511.36,0.0
12583.0,18,5,3042.39,4238.99
12584.0,2,2,622.74,1715.41
12585.0,51,2,2040.1,0.0
12590.0,28,2,9864.26,0.0
12591.0,134,1,452.84999999999997,0.0
12592.0,30,1,231.8,205.8
12593.0,36,1,236.0,182.1
12594.0,1,7,1807.95,1530.27
12596.0,59,1,269.95,348.32
12597.0,85,1,516.15,3295.07
12598.0,38,3,1285.74,1737.34
12599.0,25,3,463.86,568.72
12600.0,21,6,1315.96,1283.08
12601.0,7,5,577.0600000000001,0.0
12604.0,79,1,178.5,75.68
12609.0,3,2,800.73,326.12
12613.0,15,4,1462.52,1881.8600000000001
12614.0,95,1,315.6,0.0
12616.0,114,1,255.6,457.7
12619.0,51,2,631.66,3009.58
12620.0,22,1,561.66,777.75
12621.0,17,10,7355.82,6333.85
12622.0,49,1,180.1,0.0
12623.0,93,1,305.1,0.0
12625.0,29,2,2683.82,0.0
12626.0,133,2,1274.1,5346.38
12633.0,14,2,1729.55,434.43
12637.0,56,4,2391.75,3630.15
12639.0,56,1,486.1,0.0
12643.0,38,3,1411.9199999999998,1932.72
12645.0,37,2,798.9,976.28
12647.0,17,7,2302.31,1420.51
12649.0,29,1,375.0,248.51000000000002
12651.0,152,1,114.0,0.0
12652.0,148,1,919.98,0.0
12653.0,114,1,779.1,1430.75
12654.0,15,3,337.75,264.23
12656.0,21,2,1659.6,2391.57
12662.0,4,5,1838.08,2011.7
12664.0,49,2,1303.5800000000002,3578.3
12665.0,142,1,63.0,0.0
12668.0,76,3,2924.4700000000003,882.6800000000001
12669.0,66,2,2272.6,471.43
12670.0,17,2,1026.3899999999999,1969.66
12672.0,147,1,225.89999999999998,0.0
12673.0,144,1,220.9,389.62
12674.0,25,1,586.74,1383.8600000000001
12676.0,7,3,828.95,502.44
12678.0,5,6,5891.36,11737.1
12679.0,23,2,906.38,206.64000000000001
12681.0,4,13,8754.84,5032.7
12682.0,9,11,5277.29,7010.93
12683.0,2,10,5086.93,3389.64
12684.0,14,3,917.1,1366.53
12686.0,189,1,89.14,0.0
12690.0,23,1,389.01,0.0
12691.0,135,3,406.2,629.6
12693.0,29,3,630.77,225.14000000000001
12695.0,27,1,89.25,492.85
12700.0,32,1,1092.43,3847.56
12701.0,59,1,337.08,460.63
12705.0,18,3,3164.1,3704.19
12707.0,109,1,603.42,0.0
12708.0,18,5,1338.17,1374.74
12709.0,8,8,5153.13,4583.39
12710.0,18,1,718.96,430.06
12712.0,17,8,2267.48,2128.65
12714.0,24,2,1761.92,2946.94
12717.0,63,1,609.74,421.24
12720.0,9,10,2341.77,3439.96
12721.0,63,3,1107.82,1548.31
12724.0,149,1,154.9,876.51
12725.0,188,1,427.8,0.0
12726.0,2,5,1467.32,1141.78
12727.0,4,5,2800.4,1180.3
12728.0,74,3,617.31,219.01999999999998
12731.0,29,6,8230.09,10665.82
12733.0,51,1,383.95,0.0
12734.0,170,1,110.39999999999999,0.0
12735.0,132,2,779.5699999999999,0.0
12736.0,150,1,234.0,0.0
12738.0,189,1,155.35,0.0
12744.0,66,4,10262.65,11016.64
12747.0,16,6,2091.4,2104.61
12748.0,1,91,10014.5,23705.23
12749.0,30,1,859.1,3231.78
12753.0,65,4,12940.51,8488.88
12754.0,53,3,3010.74,0.0
12755.0,98,2,3811.95,0.0
12757.0,2,6,4445.43,3411.67
12758.0,94,1,1570.19,1221.4
12759.0,93,1,444.8,1086.64
12763.0,186,1,320.08,174.0
12764.0,134,1,1693.88,0.0
12766.0,57,4,4015.71,2973.92
12769.0,56,1,1143.6,0.0
12770.0,28,1,1351.45,0.0
12775.0,7,4,1164.68,221.36
12778.0,76,3,408.06,414.17
12779.0,7,7,2999.41,981.95
12781.0,102,1,549.26,277.48
12782.0,71,3,1562.95,767.97
12785.0,181,1,311.95,0.0
12787.0,10,1,158.1,305.56
12790.0,9,1,324.92,0.0
12791.0,191,1,192.60000000000002,0.0
12792.0,74,1,400.53999999999996,0.0
12793.0,152,2,545.48,0.0
12797.0,183,1,254.03,0.0
12802.0,4,1,427.58,0.0
12808.0,2,2,281.35,202.3
12811.0,78,3,514.85,0.0
12815.0,15,1,615.36,448.1
12817.0,98,1,166.04,0.0
12818.0,79,1,1542.08,0.0
12820.0,144,1,170.46,771.88
12821.0,31,1,92.72,0.0
12823.0,72,3,994.5,765.0
12826.0,134,3,697.1,777.62
12829.0,154,2,293.0,0.0
12831.0,79,1,215.05,0.0
12834.0,100,1,312.38,0.0
12836.0,36,2,1661.4,951.46
12838.0,191,1,390.79,292.34000000000003
12839.0,15,4,1395.89,4195.53
12840.0,31,2,1577.97,1148.8
12841.0,39,12,1961.26,2061.09
12842.0,126,1,310.73,808.26
12843.0,3,4,1071.51,630.75
12845.0,84,4,354.09,0.0
12849.0,86,1,704.5,346.39
12852.0,112,1,311.55,0.0
12853.0,57,3,885.0,1072.1
12854.0,58,2,810.37,514.13
12855.0,190,1,38.1,0.0
12857.0,28,2,1106.4,0.0
12866.0,100,1,559.12,0.0
12867.0,31,4,1738.54,2298.28
12868.0,3,6,1607.0600000000002,0.0
12871.0,24,1,132.0,248.64
12872.0,144,2,599.97,0.0
12873.0,99,1,374.0,0.0
