CustomerID,Recency,Frequency,Monetary,Monetary_log,Frequency_log,Cluster
12346,326,1,77183.6,11.253955234248428,0.6931471805599453,0
12347,2,7,4310.0,8.368925174747135,2.0794415416798357,0
12348,75,4,1797.24,7.494563687769957,1.6094379124341003,0
12349,19,1,1757.55,7.472244884833674,0.6931471805599453,0
12350,310,1,334.4,5.815323849389109,0.6931471805599453,0
12352,36,8,2506.04,7.826858053356098,2.1972245773362196,0
12353,204,1,89.0,4.499809670330265,0.6931471805599453,0
12354,232,1,1079.4,6.985086621918461,0.6931471805599453,0
12355,214,1,459.4,6.132095676847728,0.6931471805599453,0
12356,23,3,2811.43,7.941804157314053,1.3862943611198906,0
12357,33,1,6207.67,8.733701981297274,0.6931471805599453,0
12358,2,2,1168.06,7.063955286074528,1.0986122886681098,0
12359,58,4,6310.03,8.750054175177759,1.6094379124341003,0
12360,52,3,2662.06,7.887231116540211,1.3862943611198906,0
12361,287,1,189.9,5.251749730731702,0.6931471805599453,0
12362,3,10,5226.23,8.56163678004062,2.3978952727983707,0
12363,110,2,552.0,6.315358001522335,1.0986122886681098,0
12364,8,4,1313.1,7.180907299649593,1.6094379124341003,0
12365,291,2,641.38,6.465180028897591,1.0986122886681098,0
12367,4,1,168.9,5.135210028677887,0.6931471805599453,0
12370,51,4,3541.94,8.172712169921061,1.6094379124341003,0
12371,45,2,1887.96,7.543781692052325,1.0986122886681098,0
12372,72,3,1298.04,7.169380809114136,1.3862943611198906,0
12373,311,1,364.6,5.901539839579995,0.6931471805599453,0
12374,25,1,742.9300000000001,6.6119469443852195,0.6931471805599453,0
12375,11,2,457.5,6.127960291696519,1.0986122886681098,0
12377,315,2,1628.12,7.395795270713971,1.0986122886681098,0
12378,130,1,4008.62,8.29645175271804,0.6931471805599453,0
12379,82,2,852.24,6.749040867823617,1.0986122886681098,0
12380,22,4,2724.81,7.910520910634419,1.6094379124341003,0
12381,5,5,1845.31,7.520944331624911,1.791759469228055,0
12383,185,5,1850.56,7.523783805985769,1.791759469228055,0
12384,29,2,585.27,6.373780434317173,1.0986122886681098,0
12386,338,2,401.9,5.998688392197302,1.0986122886681098,0
12388,16,6,2780.66,7.930803150780256,1.9459101490553132,0
12390,80,1,549.84,6.311444385858925,0.6931471805599453,0
12391,22,1,439.66,6.0882736030360425,0.6931471805599453,0
12393,72,4,1582.6000000000001,7.3674560152319755,1.6094379124341003,0
12394,64,2,1272.48,7.149508589545504,1.0986122886681098,0
12395,19,12,3018.63,8.012889586306857,2.5649493574615367,0
12397,36,2,2409.9,7.7877554007552545,1.0986122886681098,0
12398,46,1,1635.6599999999999,7.4004128587924045,0.6931471805599453,0
12399,119,4,1108.65,7.011799929268738,1.6094379124341003,0
12401,303,1,84.3,4.446174454497633,0.6931471805599453,0
12402,323,1,225.6,5.423186348593906,0.6931471805599453,0
12403,50,1,427.7,6.0607573736039315,0.6931471805599453,0
12405,149,1,1710.39,7.445061184797548,0.6931471805599453,0
12406,22,2,3415.3,8.136313373066384,1.0986122886681098,0
12407,50,5,1708.1200000000001,7.4437338971514055,1.791759469228055,0
12408,33,5,2888.55,7.968856059639959,1.791759469228055,0
12409,79,3,11072.67,9.312325497408466,1.3862943611198906,0
12410,309,2,693.3299999999999,6.542947351813216,1.0986122886681098,0
12412,75,3,1226.88,7.1130443840624835,1.3862943611198906,0
12413,67,3,758.1,6.632133521022722,1.3862943611198906,0
12414,217,3,562.41,6.334007604663525,1.3862943611198906,0
12415,24,21,124914.53,11.735393027855736,3.091042453358316,1
12417,3,9,3649.1,8.202509843461513,2.302585092994046,0
12418,113,1,668.58,6.506650650150935,0.6931471805599453,0
12420,64,1,600.39,6.3992436425478765,0.6931471805599453,0
12421,16,4,807.04,6.694611562246261,1.6094379124341003,0
12422,96,3,803.5600000000001,6.690295544136225,1.3862943611198906,0
12423,1,8,1859.31,7.528498419486568,2.1972245773362196,0
12424,163,2,1760.96,7.474182104762846,1.0986122886681098,0
12425,78,1,777.2,6.6569835605504535,0.6931471805599453,0
12426,195,1,582.73,6.369438547154207,0.6931471805599453,0
12427,22,3,825.8,6.717562827807613,1.3862943611198906,0
12428,26,9,7956.46,8.981865132439246,2.302585092994046,0
12429,9,4,3750.4,8.22988438262624,1.6094379124341003,0
12430,43,1,256.4,5.5506312951620265,0.6931471805599453,0
12431,36,15,6419.95,8.767321360814657,2.772588722239781,0
12432,43,5,5059.32,8.529185001388596,1.791759469228055,0
12433,1,7,13375.87,9.50128237507538,2.0794415416798357,0
12434,85,2,806.14,6.6934971352559,1.0986122886681098,0
12435,80,2,7829.89,8.965831447914955,1.0986122886681098,0
12436,100,1,509.01,6.234430333369278,0.6931471805599453,0
12437,2,18,4951.41,8.507629605767502,2.9444389791664403,0
12438,14,2,2906.85,7.9751692554798295,1.0986122886681098,0
12441,367,1,173.55,5.162211233551045,0.6931471805599453,0
12442,3,1,172.06,5.153638355178593,0.6931471805599453,0
12444,21,5,5005.46,8.518484357502437,1.791759469228055,0
12445,22,1,133.4,4.900820428089049,0.6931471805599453,0
12446,58,1,1002.3100000000001,6.9110598129904375,0.6931471805599453,0
12447,243,1,476.49,6.168543217293113,0.6931471805599453,0
12448,44,1,449.45,6.110247083097449,0.6931471805599453,0
12449,22,4,4067.29,8.310978042729836,1.6094379124341003,0
12450,156,2,197.88,5.292701627762401,1.0986122886681098,0
12451,11,5,9035.52,9.109029423519523,1.791759469228055,0
12452,17,2,430.57,6.067429722163682,1.0986122886681098,0
12453,134,1,707.09,6.562571204258897,0.6931471805599453,0
12454,56,1,3528.34,8.168866163607964,0.6931471805599453,0
12455,73,6,2466.86,7.81110665732229,1.9459101490553132,0
12456,44,3,3181.04,8.065277779528966,1.3862943611198906,0
12457,66,7,2363.23,7.768207666517555,2.0794415416798357,0
12458,71,2,947.4,6.854776354191251,1.0986122886681098,0
12461,94,2,826.88,6.718868216346018,1.0986122886681098,0
12462,19,2,1189.59,7.082204261557526,1.0986122886681098,0
12463,53,4,1344.78,7.204729049594601,1.6094379124341003,0
12464,10,8,1212.05,7.100893128209941,2.1972245773362196,0
12465,17,2,742.1899999999999,6.610951732080795,1.0986122886681098,0
12468,188,2,729.5400000000001,6.593783986707386,1.0986122886681098,0
12471,2,30,19788.65,9.89291435274037,3.4339872044851463,0
12472,32,7,6572.11,8.790742363252102,2.0794415416798357,0
12473,29,5,3928.0499999999997,8.276152945361936,1.791759469228055,0
12474,17,18,7324.09,8.899060720499207,2.9444389791664403,0
12475,54,1,723.38,6.585316116572351,0.6931471805599453,0
12476,16,11,6816.42,8.82723638014411,2.4849066497880004,0
12477,23,6,13219.74,9.489542087633343,1.9459101490553132,0
12478,4,1,680.99,6.525014994979364,0.6931471805599453,0
12479,11,1,527.2,6.269474999863032,0.6931471805599453,0
12480,28,4,3281.63,8.096400209353131,1.6094379124341003,0
12481,23,10,5579.82,8.62709099798378,2.3978952727983707,0
12483,17,8,2484.98,7.818422226986002,2.1972245773362196,0
12484,33,6,4527.32,8.418106288764006,1.9459101490553132,0
12488,10,3,1298.66,7.169857970780942,1.3862943611198906,0
12489,336,1,334.93,5.816902804925467,0.6931471805599453,0
12490,5,10,5417.93,8.597653657970227,2.3978952727983707,0
